Name,Handle,Category,Followers,Content Strengths,Description,Tier,Avg Engagement (Likes / Replies / Views),Audience & Vibe,Notes + Engagement Drivers
Eric Djavid,@ericdjav,AI + CRYPTO / AGENTS,8K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",I ship and travel the world $98/m $567/m $150/m,A,~213 likes / 90 replies / 21K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
David Ch,@chhddavid,BUILDER-IN-PUBLIC,7K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","building @shipper_now in public daily i collect saas companies. all w/@chddaniel, my",A,~336 likes / 105 replies / 104K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
David Ch,@chhddavid,BUILDER-IN-PUBLIC,7K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","building @shipper_now in public daily i collect saas companies. all w/@chddaniel, my",A,~356 likes / 107 replies / 106K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Jonathan,@jonathanbrnd,BUILDER-IN-PUBLIC,3K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Building @digistorms_ai. Helping B2B SaaS companies activate and retain users through better,B,~48 likes / 49 replies / 3K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Who gets replaced by AI first?  1. Marketers 2. Engineers..."""
Jonathan,@jonathanbrnd,BUILDER-IN-PUBLIC,3K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Building @digistorms_ai. Helping B2B SaaS companies activate and retain users through better,B,~48 likes / 49 replies / 3K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Who gets replaced by AI first?  1. Marketers 2. Engineers..."""
Besim,@besinpublic,BUILDER / GAMING,2K,💬,"I quit gaming to pursue my dreams | the guy (NPO, $1.6k",B,No recent posts,developer community + builder crowd — game studio founder energy,Low activity — limited data
Besim,@besinpublic,BUILDER / GAMING,2K,💬,"I quit gaming to pursue my dreams | the guy (NPO, $1.6k",B,No recent posts,developer community + builder crowd — game studio founder energy,Low activity — limited data
Ilia Stepin,@martbln_dev,BUILDER-IN-PUBLIC,229,"📸 images, 😂 memes/shitposts, 📝 long-form",Indie dev Build in Public ProofPanel - Channelo -,B,~14 likes / 6 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Ilia Stepin,@martbln_dev,BUILDER-IN-PUBLIC,229,"📸 images, 😂 memes/shitposts, 📝 long-form",Indie dev Build in Public ProofPanel - Channelo -,B,~14 likes / 6 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
nader dabit,@dabit3,MARKETING / BUILDER,187K,"📝 long-form, ⭐ high-engagement",Growth @cognition. Working on @devinai and @windsurf.,A,~698 likes / 41 replies / 150K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
nader dabit,@dabit3,MARKETING / BUILDER,187K,"📝 long-form, ⭐ high-engagement",Growth @cognition. Working on @devinai and @windsurf.,A,~697 likes / 41 replies / 150K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Sarcastic Geek,@gozkybrain4u,BUILDER-IN-PUBLIC,16K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Space Host and Community Lead at the Sarcastic Geeks Trybe @sarcasticgeek4u |,A,~29 likes / 5 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Sarcastic Geek,@gozkybrain4u,BUILDER-IN-PUBLIC,16K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Space Host and Community Lead at the Sarcastic Geeks Trybe @sarcasticgeek4u |,A,~29 likes / 5 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Nash,@neevash,AI + CRYPTO / AGENTS,8K,💬 reply-heavy,Stream,B,~7 likes / 1 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Reply-heavy account — conversation driver
Nash,@neevash,AI + CRYPTO / AGENTS,8K,💬 reply-heavy,Stream,B,~7 likes / 1 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Reply-heavy account — conversation driver
Lukas Klingsbo,@spydon,BUILDER-IN-PUBLIC,5K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",- GDE for Flutter & Dart - Organizing the @FlutterNFriends conference -,B,~16 likes / 3 replies / 1K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Lukas Klingsbo,@spydon,BUILDER-IN-PUBLIC,5K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",- GDE for Flutter & Dart - Organizing the @FlutterNFriends conference -,B,~16 likes / 3 replies / 1K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Ashu,@aashudubey_ad,EMERGING BUILDER,3K,💬,Just an introverted nobody. GitHub: youtube: Patreon:,B,No recent posts,"developer community + builder crowd — early-stage, learning-in-public",Low activity — limited data
Ashu,@aashudubey_ad,EMERGING BUILDER,3K,💬,Just an introverted nobody. GitHub: youtube: Patreon:,B,No recent posts,"developer community + builder crowd — early-stage, learning-in-public",Low activity — limited data
Jay Meijer,@jfkdev,BUILDER-IN-PUBLIC,2K,💬,| Dutch | Senior Engineer @vgventures | Flutter & Dart GDE |,B,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Jay Meijer,@jfkdev,BUILDER-IN-PUBLIC,2K,💬,| Dutch | Senior Engineer @vgventures | Flutter & Dart GDE |,B,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Kit Princess ||,@engagekit_io,BUILDER-IN-PUBLIC,320,💬 reply-heavy,Founder | Helps grow your business on LinkedIn with authentic engagement &,C,~6 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Kit Princess ||,@engagekit_io,BUILDER-IN-PUBLIC,320,💬 reply-heavy,Founder | Helps grow your business on LinkedIn with authentic engagement &,C,~6 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Simone Arpe,@simonarpe,BUILDER / GAMING,264,💬,"Dad, developer, weightlifter. Android developer during the day and indie game dev",C,No recent posts,developer community + builder crowd — game studio founder energy,Low activity — limited data
Simone Arpe,@simonarpe,BUILDER / GAMING,264,💬,"Dad, developer, weightlifter. Android developer during the day and indie game dev",C,No recent posts,developer community + builder crowd — game studio founder energy,Low activity — limited data
Linux Handbook,@LinuxHandbook,EMERGING BUILDER,157K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Learn to use Linux commands, SysAdmin tools, Self-hosting, Docker and other DevOps",A,~255 likes / 3 replies / 14K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. High engagement — established voice
Linux Handbook,@LinuxHandbook,EMERGING BUILDER,157K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Learn to use Linux commands, SysAdmin tools, Self-hosting, Docker and other DevOps",A,~255 likes / 3 replies / 14K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. High engagement — established voice
inhuman resources,@inhumandept_vp,MARKETING / BUILDER,38K,"📝 long-form, ⭐ high-engagement",Tips from the darkside of HR. VP of HR for 10+ years.,A,~6618 likes / 163 replies / 669K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
inhuman resources,@inhumandept_vp,MARKETING / BUILDER,38K,"📝 long-form, ⭐ high-engagement",Tips from the darkside of HR. VP of HR for 10+ years.,A,~6618 likes / 163 replies / 669K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
Neal Taparia,@nealtaparia,BUILDER / GAMING,36K,💬,Entrepreneur & Investor | I discuss working less and doing more |,B,No recent posts,developer community + builder crowd — game studio founder energy,Low activity — limited data
Neal Taparia,@nealtaparia,BUILDER / GAMING,36K,💬,Entrepreneur & Investor | I discuss working less and doing more |,B,No recent posts,developer community + builder crowd — game studio founder energy,Low activity — limited data
Dan,@d4m1n,MARKETING / BUILDER,31K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",I shipped 9 startups & for some reason they make money now,A,~51 likes / 20 replies / 6K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
Dan,@d4m1n,MARKETING / BUILDER,31K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",I shipped 9 startups & for some reason they make money now,A,~53 likes / 20 replies / 6K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
Kr$na,@krishdotdev,BUILDER-IN-PUBLIC,15K,"📹 videos/media, ⭐ high-engagement",Full-Stack Engineer | Building launch-ready MVPs in 21 days for founders at,A,~8228 likes / 29 replies / 68K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Kr$na,@krishdotdev,BUILDER-IN-PUBLIC,15K,"📹 videos/media, ⭐ high-engagement",Full-Stack Engineer | Building launch-ready MVPs in 21 days for founders at,A,~8150 likes / 31 replies / 68K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
fokki,@0x_fokki,DEV ADVOCATES / ECOSYSTEM,10K,"📸 images, 📝 long-form, 💬 reply-heavy",Limitless Signal,A,~97 likes / 43 replies / 3K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. Reply-heavy account — conversation driver
fokki,@0x_fokki,DEV ADVOCATES / ECOSYSTEM,10K,"📸 images, 📝 long-form, 💬 reply-heavy",Limitless Signal,A,~97 likes / 43 replies / 3K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. Reply-heavy account — conversation driver
Fayaz Ahmed,@fayazara,BUILDER-IN-PUBLIC,5K,💬 short tweets,"Sr. Dev Educator @cloudflare, also building + @piqolabs at nights",B,~13 likes / 1 replies / 1K views,Indian developer community + builder crowd — build-in-public hustle,"Top post: ""Anas is building 100 tools in 100 days using @CloudflareDev ..."""
Fayaz Ahmed,@fayazara,BUILDER-IN-PUBLIC,5K,💬 short tweets,"Sr. Dev Educator @cloudflare, also building + @piqolabs at nights",B,~13 likes / 1 replies / 1K views,Indian developer community + builder crowd — build-in-public hustle,"Top post: ""Anas is building 100 tools in 100 days using @CloudflareDev ..."""
Rajat Kulkarni,@JokingRajat,EMERGING BUILDER,330,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy",Bootstrapping @tryOctarine & . Opinionated software that hopefully brings you joy! Prev,B,~11 likes / 0 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver. Meme/relatable posts outperform
Rajat Kulkarni,@JokingRajat,EMERGING BUILDER,330,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy",Bootstrapping @tryOctarine & . Opinionated software that hopefully brings you joy! Prev,B,~11 likes / 0 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver. Meme/relatable posts outperform
Simon Hiberg,@SimonHoiberg,BUILDER-IN-PUBLIC,156K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Building a portfolio of bootstrapped SaaS products. - - - -,A,~311 likes / 47 replies / 35K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Simon Hiberg,@SimonHoiberg,BUILDER-IN-PUBLIC,156K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Building a portfolio of bootstrapped SaaS products. - - - -,A,~311 likes / 47 replies / 35K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Minko Gechev,@mgechev,AI + CRYPTO / AGENTS,57K,"📝 long-form, ⭐ high-engagement",Angular,A,~32 likes / 2 replies / 2K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""I’ve been working pretty much full time on agents and AI ove..."""
Minko Gechev,@mgechev,AI + CRYPTO / AGENTS,57K,"📝 long-form, ⭐ high-engagement",Angular,A,~32 likes / 2 replies / 2K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""I’ve been working pretty much full time on agents and AI ove..."""
Pratim,@BhosalePratim,BUILDER-IN-PUBLIC,41K,"📹 videos/media, 📝 long-form, 💬 reply-heavy","Developer Experience Engineer | Building @spokira | Prev @ SurrealDB, Eng @",A,~16 likes / 2 replies / 2K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Pratim,@BhosalePratim,BUILDER-IN-PUBLIC,41K,"📹 videos/media, 📝 long-form, 💬 reply-heavy","Developer Experience Engineer | Building @spokira | Prev @ SurrealDB, Eng @",A,~16 likes / 2 replies / 2K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Tapas Adhikary | tapaScript,@tapasadhikary,BUILDER-IN-PUBLIC,18K,"💬 short tweets, ⭐ high-engagement",- Teaching to be a Better Developer - 37K+ subs on YT:,A,~16 likes / 8 replies / 1K views,developer community + builder crowd — build-in-public hustle,"Top post: ""What separates average devs from great devs?..."""
Tapas Adhikary | tapaScript,@tapasadhikary,BUILDER-IN-PUBLIC,18K,"💬 short tweets, ⭐ high-engagement",- Teaching to be a Better Developer - 37K+ subs on YT:,A,~16 likes / 8 replies / 1K views,developer community + builder crowd — build-in-public hustle,"Top post: ""What separates average devs from great devs?..."""
IroncladDev,@IroncladDev,AI + CRYPTO / AGENTS,14K,"💬 short tweets, ⭐ high-engagement",Opinionated Texan software engineer who aims to build and share great software,A,~80 likes / 7 replies / 4K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
IroncladDev,@IroncladDev,AI + CRYPTO / AGENTS,14K,"💬 short tweets, ⭐ high-engagement",Opinionated Texan software engineer who aims to build and share great software,A,~80 likes / 7 replies / 4K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
pid,@pidsjonman,EMERGING BUILDER,1K,"📹 videos/media, 📝 long-form",SOL: BSC:,C,~5 likes / 1 replies / 0K views,"Solana devs + builder crowd — early-stage, learning-in-public",Media posts outperform text
pid,@pidsjonman,EMERGING BUILDER,1K,"📹 videos/media, 📝 long-form",SOL: BSC:,C,~5 likes / 1 replies / 0K views,"Solana devs + builder crowd — early-stage, learning-in-public",Media posts outperform text
Haimantika Mitra,@HaimantikaM,AI + CRYPTO / AGENTS,17K,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy",DigitalOcean,A,~20 likes / 3 replies / 1K views,"Indian developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text
Haimantika Mitra,@HaimantikaM,AI + CRYPTO / AGENTS,17K,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy",DigitalOcean,A,~20 likes / 3 replies / 1K views,"Indian developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text
—,@wojakcodes,EMERGING BUILDER,?,—,Profile not found,C,—,—,Could not fetch profile
Wojak Codes,@wojakcodes,EMERGING BUILDER,54K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",just a guy who codes for fun.,A,~7444 likes / 35 replies / 131K views,"developer community + builder crowd — early-stage, learning-in-public",High engagement — established voice
Marc,@MarcJSchmidt,AI + CRYPTO / AGENTS,7K,"📝 long-form, 💬 reply-heavy, ⭐ high-engagement","freelance software/ml engineer, kw/hp",A,~22 likes / 5 replies / 1K views,"developer community + builder crowd — AI-native, agent-first energy",Reply-heavy account — conversation driver
Marc,@MarcJSchmidt,AI + CRYPTO / AGENTS,7K,"📝 long-form, 💬 reply-heavy, ⭐ high-engagement","freelance software/ml engineer, kw/hp",A,~22 likes / 5 replies / 1K views,"developer community + builder crowd — AI-native, agent-first energy",Reply-heavy account — conversation driver
Ben Lesh,@BenLesh,BUILDER-IN-PUBLIC,63K,"😂 memes/shitposts, 📝 long-form",#RxJS core team lead. Dad. Art Lover. Literally not paid by the,B,~9 likes / 1 replies / 1K views,developer community + builder crowd — build-in-public hustle,"Top post: ""For &gt;1yr I’ve been building AI chat tools with embedded U..."""
Ibrahim Arief,@ibamarief,EMERGING BUILDER,18K,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy","Akun ini dikelola oleh keluarga Ibam, tim kuasa hukum Ibam, dan relawan",A,~621 likes / 9 replies / 144K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Ben Lesh,@BenLesh,BUILDER-IN-PUBLIC,63K,"😂 memes/shitposts, 📝 long-form",#RxJS core team lead. Dad. Art Lover. Literally not paid by the,B,~9 likes / 1 replies / 1K views,developer community + builder crowd — build-in-public hustle,"Top post: ""For &gt;1yr I’ve been building AI chat tools with embedded U..."""
Vic,@VicVijayakumar,BUILDER-IN-PUBLIC,25K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement","3x dad, 6.2x runner, 0.5x violinist, 1x principal engineer. my projects:",A,~99 likes / 15 replies / 4K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Ibrahim Arief,@ibamarief,BUILDER-IN-PUBLIC,18K,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy","Akun ini dikelola oleh keluarga Ibam, tim kuasa hukum Ibam, dan relawan",A,~621 likes / 9 replies / 144K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
terminally onine ngineer,@tekbog,VIBECODER / BUILDER-IN-PUBLIC,37K,"📹 videos/media, ⭐ high-engagement",twocents,A,~7632 likes / 10 replies / 122K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
Vic,@VicVijayakumar,BUILDER-IN-PUBLIC,25K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement","3x dad, 6.2x runner, 0.5x violinist, 1x principal engineer. my projects:",A,~99 likes / 15 replies / 4K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Kristof,@CoastalFuturist,PRODUCT / COMMUNITY,16K,"📹 videos/media, ⭐ high-engagement",Pierre,A,~286 likes / 8 replies / 6K views,"developer community + builder crowd — product-minded, community-first",Media posts outperform text. High engagement — established voice
terminally onine ngineer,@tekbog,VIBECODER / BUILDER-IN-PUBLIC,37K,"📹 videos/media, ⭐ high-engagement",twocents,A,~7747 likes / 12 replies / 129K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
trash,@trashh_dev,BUILDER-IN-PUBLIC,114K,"📹 videos/media, ⭐ high-engagement","i use one password. i like snacks, typescript, anime, pok mon, starcraft,",A,~561 likes / 17 replies / 32K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Kristof,@CoastalFuturist,MARKETING / BUILDER,16K,"📹 videos/media, ⭐ high-engagement",Pierre,A,~291 likes / 8 replies / 7K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Jamon,@jamonholmgren,BUILDER / GAMING,31K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Say hi, I'm friendly! Still love coding after 32+ years. Founder/CTO @infinite_red,",A,~15 likes / 3 replies / 1K views,developer community + builder crowd — game studio founder energy,Media posts outperform text
trash,@trashh_dev,BUILDER-IN-PUBLIC,114K,"📹 videos/media, ⭐ high-engagement","i use one password. i like snacks, typescript, anime, pok mon, starcraft,",A,~562 likes / 17 replies / 32K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Mehmet Perk,@mmt,EMERGING BUILDER,912,💬,"Product@Siemens co-founded: (exited) Occasionally speaker, PM instructor",C,No recent posts,"developer community + builder crowd — early-stage, learning-in-public",Low activity — limited data
Jamon,@jamonholmgren,BUILDER / GAMING,31K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Say hi, I'm friendly! Still love coding after 32+ years. Founder/CTO @infinite_red,",A,~15 likes / 3 replies / 1K views,developer community + builder crowd — game studio founder energy,Media posts outperform text
Raul Junco,@RaulJuncoV,AI + CRYPTO / AGENTS,34K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","I simplify System Design, and System Design will make you a better",A,~47 likes / 4 replies / 2K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. Reply-heavy account — conversation driver
Mehmet Perk,@mmt,EMERGING BUILDER,912,💬,"Product@Siemens co-founded: (exited) Occasionally speaker, PM instructor",C,No recent posts,"developer community + builder crowd — early-stage, learning-in-public",Low activity — limited data
Tib3rius,@0xTib3rius,MARKETING / BUILDER,70K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",Cybersecurity Content Creator | UwU-Anointed Wapp King | DEF CON Gameshow Host,A,~63 likes / 6 replies / 5K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
Raul Junco,@RaulJuncoV,AI + CRYPTO / AGENTS,34K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","I simplify System Design, and System Design will make you a better",A,~47 likes / 4 replies / 2K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. Reply-heavy account — conversation driver
Alex Ibragimov,@alexwtlf,MARKETING / BUILDER,2K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement",Building MVPs in weeks in the vibe coding era. AI-assisted dev |,B,~213 likes / 52 replies / 7K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Tib3rius,@0xTib3rius,MARKETING / BUILDER,70K,"📹 videos/media, ⭐ high-engagement",Cybersecurity Content Creator | UwU-Anointed Wapp King | DEF CON Gameshow Host,A,~64 likes / 6 replies / 5K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
AdrienBrb,@adrien_brbr,BUILDER-IN-PUBLIC,400,"📸 images, 😂 memes/shitposts, 📝 long-form","Shipping code, chasing MRR, skipping sleep. Powered by carbonara. Stop losing customers",C,~6 likes / 2 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Everyone talks about building in public but nobody gives you..."""
Alex Ibragimov,@alexwtlf,VIBECODER / BUILDER-IN-PUBLIC,2K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement",Building MVPs in weeks in the vibe coding era. AI-assisted dev |,B,~208 likes / 48 replies / 7K views,developer community + builder crowd — casual vibe coder,Media posts outperform text. High engagement — established voice
Sarthak,@sarthaktwtt,BUILDER-IN-PUBLIC,2K,"📹 videos/media, ⭐ high-engagement",20 | build things | iterating on myself,B,~61 likes / 6 replies / 4K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
AdrienBrb,@adrien_brbr,BUILDER-IN-PUBLIC,400,"📸 images, 😂 memes/shitposts, 📝 long-form","Shipping code, chasing MRR, skipping sleep. Powered by carbonara. Stop losing customers",C,~6 likes / 2 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Everyone talks about building in public but nobody gives you..."""
Justo,@justoo_digital,EMERGING BUILDER,400,"📸 images, 😂 memes/shitposts, 📝 long-form",Solopreneur. I ship MVPs that start charging customers in under 3 weeks.,C,~2 likes / 1 replies / 0K views,"Solana devs + builder crowd — early-stage, learning-in-public",Low engagement — early/casual account
Sarthak,@sarthaktwtt,BUILDER-IN-PUBLIC,2K,"📹 videos/media, ⭐ high-engagement",20 | build things | iterating on myself,B,~61 likes / 6 replies / 4K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Henry Labs,@Henrylabss,MARKETING / BUILDER,441,"📸 images, 😂 memes/shitposts, ⭐ high-engagement",Solo Founder / built the modern replacement for Loom / uses X,B,~15 likes / 9 replies / 0K views,"Solana devs + builder crowd — growth-focused, strategic","Top post: ""I’m building a new app right now  My competitor has ~500K Yo..."""
Justo,@justoo_digital,EMERGING BUILDER,400,"📸 images, 😂 memes/shitposts, 📝 long-form",Solopreneur. I ship MVPs that start charging customers in under 3 weeks.,C,~2 likes / 1 replies / 0K views,"Solana devs + builder crowd — early-stage, learning-in-public",Low engagement — early/casual account
dev_boy,@c_aulli,BUILDER-IN-PUBLIC,451,"📸 images, 😂 memes/shitposts, 📝 long-form","Believer Learning full-stack development Sharing mistakes, lessons & small wins Building in",B,~22 likes / 6 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Henry Labs,@Henrylabss,MARKETING / BUILDER,441,"📸 images, 😂 memes/shitposts",Solo Founder / built the modern replacement for Loom / uses X,C,~9 likes / 5 replies / 0K views,"Solana devs + builder crowd — growth-focused, strategic",Media posts outperform text
Adam,@nihdao,BUILDER-IN-PUBLIC,305,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Corporate data guy building playful things ||,C,~3 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Won the first round on @RankInPublic, appreciate everyone wh..."""
dev_boy,@c_aulli,BUILDER-IN-PUBLIC,451,"📸 images, 😂 memes/shitposts, 📝 long-form","Believer Learning full-stack development Sharing mistakes, lessons & small wins Building in",B,~23 likes / 7 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Pat,@xxpaat,BUILDER-IN-PUBLIC,566,"😂 memes/shitposts, 💬 reply-heavy",AGTG | Solo Founder EDR,C,~3 likes / 1 replies / 0K views,Solana devs + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Adam,@nihdao,BUILDER-IN-PUBLIC,305,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Corporate data guy building playful things ||,C,~3 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Won the first round on @RankInPublic, appreciate everyone wh..."""
Siya,@siyabuilt,EMERGING BUILDER,11K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement",Content Rewards,A,~39 likes / 4 replies / 3K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Pat,@xxpaat,BUILDER-IN-PUBLIC,566,"😂 memes/shitposts, 💬 reply-heavy",AGTG | Solo Founder EDR,C,~3 likes / 1 replies / 0K views,Solana devs + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Om Patel,@om_patel5,VIBECODER / BUILDER-IN-PUBLIC,10K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",16 year old saas dev growing + building cool stuff,A,~2221 likes / 70 replies / 135K views,developer community + builder crowd — casual vibe coder,Media posts outperform text. High engagement — established voice
Siya,@siyabuilt,EMERGING BUILDER,11K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement",Content Rewards,A,~39 likes / 4 replies / 3K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Aryan,@aryanlabde,AI + CRYPTO / AGENTS,5K,"📸 images, ⭐ high-engagement","20. Now building Snibet, your go-to tool to craft bangers.",B,~84 likes / 47 replies / 3K views,"developer community + builder crowd — AI-native, agent-first energy",High engagement — established voice
Om Patel,@om_patel5,VIBECODER / BUILDER-IN-PUBLIC,10K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",16 year old saas dev growing + building cool stuff,A,~2221 likes / 70 replies / 135K views,developer community + builder crowd — casual vibe coder,Media posts outperform text. High engagement — established voice
Pri,@priyhhhhh,VIBECODER / BUILDER-IN-PUBLIC,3K,"😂 memes/shitposts, 💬 reply-heavy, ⭐ high-engagement",semi autistic tinkerer. chewing glass while being a vibe coder,B,~10 likes / 0 replies / 0K views,developer community + builder crowd — casual vibe coder,Reply-heavy account — conversation driver
clarissa,@0xCL4R,EMERGING BUILDER,1K,"📸 images, 😂 memes/shitposts, 📝 long-form",ece + biz-econ @ ucsd | revamping indonesia s study abroad scene,C,~9 likes / 1 replies / 0K views,"developer community + hackathon crowd — early-stage, learning-in-public",Media posts outperform text
Yash Atreya,@YashAtreya,AI + CRYPTO / AGENTS,1K,📝 long-form,"@usebeampay // prev. @ithacaxyz, @paradigm",C,~8 likes / 1 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text
ANIRUDDHA ADAK,@aniruddhadak,AI + CRYPTO / AGENTS,360,"📹 videos/media, 📝 long-form","I test and share all the latest updates on AI, AI agents,",C,~3 likes / 0 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text
